ice,rain,wind,dry,snow,cold,danger
0,0.00,8.95,1,0,87.10,1
0,0.43,8.05,0,0,82.90,0
0,0.03,8.05,0,0,78.10,0
0,0.00,17.90,0,0,84.90,0
0,0.00,16.11,1,0,84.00,1
0,0.00,12.08,1,0,75.00,1
0,1.04,14.09,0,0,82.90,0
0,0.84,25.95,0,0,68.00,1
0,0.00,8.95,0,0,69.10,0
0,0.00,8.95,1,0,72.00,1
0,0.17,12.97,0,0,66.90,0
0,1.43,21.03,0,0,55.00,1
0,0.00,16.11,0,0,53.10,0
0,0.00,21.03,1,0,78.10,1
0,0.00,12.08,1,0,77.00,1
0,0.18,21.92,0,0,73.90,1
0,0.00,14.99,0,0,53.10,0
0,0.00,12.08,1,0,71.10,1
0,0.00,12.08,1,0,53.10,1
0,0.08,21.03,0,0,68.00,1
0,0.56,29.97,0,0,64.00,1
0,0.00,16.11,0,0,55.90,0
0,0.00,14.99,1,0,64.90,1
0,0.01,23.04,0,0,68.00,1
0,0.00,14.09,0,0,66.00,0
0,0.61,19.91,0,0,60.10,0
0,0.00,23.04,0,0,59.00,1
0,0.10,31.09,0,0,64.90,1
0,0.19,12.08,0,0,57.00,0
0,0.42,17.90,0,0,57.90,0
0,0.00,8.95,0,0,64.00,0
0,0.00,14.99,1,0,62.10,1
0,0.00,16.11,1,0,53.10,1
0,0.00,17.00,1,0,68.00,1
0,0.00,19.91,1,0,70.00,1
0,0.00,10.07,1,0,57.00,1
0,0.00,8.05,1,0,51.10,1
0,0.00,23.04,1,0,60.10,1
0,0.00,12.08,1,0,64.00,1
0,0.00,8.95,1,0,63.00,1
0,0.00,14.99,1,0,64.90,1
0,0.09,36.01,0,0,78.10,1
0,0.00,12.97,0,0,66.00,0
0,0.17,19.91,0,0,54.00,0
0,0.00,10.07,0,0,54.00,0
0,0.00,23.04,1,0,75.00,1
0,0.02,17.00,0,0,78.10,0
0,0.04,12.08,0,0,75.00,0
0,0.03,12.97,0,0,68.00,0
0,0.62,16.11,0,0,84.90,0
0,0.00,17.00,0,0,75.90,0
0,0.00,17.00,1,0,86.00,1
0,0.00,14.99,1,0,62.10,1
0,0.00,12.08,1,0,77.00,1
0,0.00,12.97,1,0,78.10,1
0,0.00,16.11,1,0,80.10,1
0,0.00,14.09,1,0,72.00,1
0,0.15,14.09,0,0,75.00,0
0,0.49,16.11,0,0,75.00,0
0,0.00,21.03,0,0,82.00,1
0,0.00,8.95,1,0,82.00,1
0,0.00,14.09,1,0,89.10,1
0,0.43,19.91,0,0,82.90,0
0,0.00,17.00,0,0,80.10,0
0,0.00,17.00,1,0,69.10,1
0,0.00,17.00,1,0,54.00,1
1,0.80,12.97,0,0,35.10,1
0,0.00,19.91,0,0,46.90,0
0,0.00,19.91,1,0,64.00,1
0,0.00,17.90,1,0,39.90,1
0,0.00,14.99,1,0,48.00,1
0,0.00,14.09,1,0,42.10,1
0,0.00,8.95,1,0,61.00,1
0,0.00,17.00,1,0,50.00,1
0,0.00,21.92,1,0,64.00,1
0,0.00,19.91,1,0,48.90,1
0,0.00,14.09,1,0,48.90,1
0,0.00,14.99,1,0,57.90,1
0,0.01,16.11,0,0,57.00,0
0,0.73,17.90,0,0,59.00,0
0,0.00,19.91,0,0,72.00,0
0,0.04,12.97,0,0,57.90,0
0,0.00,21.92,0,0,82.90,1
0,0.25,21.03,0,0,82.90,1
0,0.00,16.11,0,0,75.90,0
0,0.00,17.90,1,0,80.10,1
0,0.00,14.99,1,0,90.00,1
0,0.00,17.00,1,0,71.10,1
0,0.01,6.93,0,0,66.00,0
0,0.00,25.05,0,0,70.00,1
0,0.04,17.90,0,0,69.10,0
0,0.02,23.94,0,0,84.00,1
0,0.00,16.11,0,0,70.00,0
0,0.00,12.97,1,0,86.00,1
0,0.01,14.99,0,0,70.00,0
0,0.13,19.91,0,0,91.00,0
0,0.31,14.99,0,0,89.10,0
0,0.00,21.03,0,0,93.00,1
0,0.00,17.90,1,0,93.90,1
0,0.00,17.00,1,0,86.00,1
0,0.00,12.97,1,0,86.00,1
0,0.00,16.11,1,0,89.10,1
0,0.00,14.99,1,0,90.00,1
0,0.00,16.11,1,0,91.90,1
0,0.00,17.90,1,0,84.90,1
0,0.00,16.11,1,0,89.10,1
0,0.00,23.04,1,0,104.00,1
0,0.00,19.91,1,0,102.90,1
0,0.06,21.03,0,0,98.10,1
0,0.00,12.08,0,0,93.00,0
0,0.00,10.07,1,0,91.00,1
0,0.00,10.07,1,0,96.10,1
0,0.00,12.08,1,0,95.00,1
0,0.00,16.11,1,0,82.00,1
0,0.00,12.97,1,0,91.90,1
0,0.00,12.08,1,0,86.00,1
0,0.00,12.08,1,0,89.10,1
0,0.00,10.07,1,0,93.90,1
0,0.04,12.97,0,0,84.90,0
0,0.00,8.95,0,0,73.90,0
0,0.00,14.99,1,0,66.00,1
0,0.00,12.97,1,0,55.00,1
0,0.00,12.08,1,0,61.00,1
0,0.00,17.00,1,0,51.10,1
0,0.00,8.95,1,0,61.00,1
0,0.00,21.03,1,0,78.10,1
0,0.06,10.07,0,0,48.90,0
0,0.00,12.08,0,0,63.00,0
0,0.00,14.99,1,0,54.00,1
0,0.00,16.11,1,0,45.00,1
0,0.01,23.94,0,0,75.90,1
0,0.00,14.99,0,0,44.10,0
0,0.16,25.05,0,0,66.90,1
0,0.00,14.09,0,0,57.90,0
0,0.00,12.08,1,0,35.10,1
0,0.00,16.11,1,0,73.00,1
0,0.00,29.97,1,0,68.00,1
0,0.00,14.09,1,0,39.00,1
0,0.00,23.94,1,0,64.00,1
0,0.83,25.95,0,0,60.10,1
0,0.00,33.11,0,0,77.00,1
0,0.00,25.95,1,0,66.00,1
0,0.00,12.08,1,0,46.90,1
0,0.28,27.96,0,0,62.10,1
0,0.29,31.09,0,0,73.00,1
0,0.00,23.04,0,0,55.00,1
0,0.01,12.08,0,0,61.00,0
0,0.00,17.00,0,0,43.00,0
